description,business_tags,sector,category,niche,corect_label
"Liaocheng Luxi Foreign Trade Co., Ltd. is a company based in Liaocheng, China that offers a complete range of products and services. They specialize in the trading of organic acids, mineral compounds, organic acids and salts, liquid organic and mineral reagents, mineral acids, minerals oxides, oil and oil products, miscellaneous industrial chemistry, alkalis and soda products, pure chemical elements, and fillers. The company is located in Liaoyang, Shandong, China. They are known for their high-quality products and have been in operation for many years.","['Carbon Black', 'Liquid Organic and Mineral Reagents', 'Organic Acids and Salts', 'Mineral Oxides', 'Miscellaneous Industrial Chemistry', 'Oil Products', 'Alkalis and Soda Products', 'Glacial Acetic Acid', 'Iron Oxide Powder', 'Pure Chemical Elements', 'Mineral Compounds', 'Chemical Fillers', 'Calcium Carbonate', 'Sodium Hexametaphosphate', 'Fully Refined Paraffin Wax', 'Potassium Hydroxide']",Manufacturing,Chemicals,Other Basic Inorganic Chemical Manufacturing,['Chemical Manufacturing']
"The company specializes in the production and distribution of a wide range of food products, including meat, poultry, dairy, and household items. They offer a variety of meats such as beef, pork, chicken, lamb, and mutton, as well as sausages, bacon, and various types of cheese. Additionally, they provide various types and sizes of cheese, including vegetarian, vegan, and organic options. The company also offers poultry products such as chicken, duck, goose, and turkey, aswell as various types, sizes, and cuts of meat. They cater to different dietary preferences such as vegetarian, vegetarian, and vegan.","['Specialty Food Retailer', 'Hemp Jars', 'Hemp Sports Drinks', 'Hemp Thighs', 'Hemp Seed Oil', 'Hemp Capsules', 'Hemp Body Butter', 'Hemp Tea', 'Hemp Tinctures', 'Hemp Lotion', 'Hemp Dried Fruits and Nuts', 'Hemp Candles', 'Hemp Food']",Wholesale,Chemicals,Other Farm Product Raw Material Merchant Wholesalers,"['Meat Processing Services', 'Dairy Production Services', 'Food Processing Services', 'Oil and Fat Manufacturing', 'Cosmetic Manufacturing']"
"Coutinho & Faustino - Com. Industria Equip. Panificação Similares, Lda is a company based in Milheirós, Portugal. It operates in the field of machine maintenance services.","['Technical Assistance', 'Food Machinery Manufacturing', 'Preventive Maintenance', 'Gas Appliance Installation and Intervention', 'Maintenance Services for Food Industry', 'Computer Maintenance Services', '24-hour Technical Emergency Service']",Services,Appliance Repair & Maintenance,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,"['Industrial Machinery Installation', 'Gas Manufacturing Services',  'Gas Installation Services']"
"Cartesian Corporation is a metal manufacturing company that has been providing quality fabrication services for over 75 years. The company was founded with the aim of combining traditional craftsmanship with modern technology to create top-notch manufacturing solutions. Cartesian Corp. serves a diverse range of customers in industries such as railroad, diesel power supply, and agriculture. They offer a variety of services including laser cutting, CNC turret punching, CMM bending, precision welding, and powder coating and plating services. The team of experienced technicians can design and fabricate custom jigs and fixtures.","['Precision Laser Welding Services', 'Cnc Turret Punching', 'CNC Bending Services', 'Jigs & Fixtures', 'ISO Certification', 'Vella Turret', 'Amada Turret Presses', 'Powder Coating Services', 'Plate Work Fabrication', 'Metal Fabrication Services']",Manufacturing,Metal Fabrication Services,Plate Work Manufacturing,"['Sheet Metal Services', 'Welding Services', 'Non-Structural Steel Fabrication']"
"Orthos Orthopaedic Solutions Inc. is a company that specializes in providing custom-made and off-the-shelf orthotic services. They offer a wide range of orthoses, including UCBL and diabetic foot orthoses such as ankle foot orthotics, knee orthoses (knee, ankle, and knee-ankle), partial foot prostheses, hip knee ankle foot Orthoses, and shoulder, arm, wrist, and hand orthoses. The company is staffed by certified orthotists who are uniquely trained professionals who provide comprehensive patient care for individuals in need of orthotic treatment. They evaluate and design solutions for patients with muscle/bone impairment, disease, or deformity, with the primary goal of restoring mobility and preventing or limiting disability. The certified orthots take a holistic approach to patient care, considering the underlying medical cause and overall health and lifestyle of the patient to define the requirements for orthotic treatments.","['Charcot Restraint Orthotic Walker Boots', 'Orthopaedic Solutions Provider', 'Patella Tendon Bearing Orthoses', 'Healthcare Services', 'Compression Sleeves', 'Off-the-shelf Orthotics', 'UCBL and Diabetic Foot Orthoses', 'Custom Orthotics', 'Partial Foot Prosthesis']",Services,Podiatrists,Offices of Podiatrists,['Physical Therapy Services']
"The Circular Ocean-bound Plastic (COP) project is a collaborative initiative aimed at addressing the issue of plastic pollution in the South Baltic Sea region. The project, in collaboration with partners from Denmark, Sweden, Germany, and Poland, seeks to identify challenges and opportunities for collecting, recycling, and reusing ocean-bound plastic waste. The initiative will conduct pilot activities in several coastal cities in the region to test waste collection technologies and explore the sources of ocean-beded plastic. Small and medium-sized enterprises (SMEs) throughout the region will be involved in the project's activities, and recycling properties and treatment options for the collected ocean-born plastic waste will also be explored. The Ocean Plastic Hub is a knowledge sharing center for anyone interested in tackling the challenge of plastics in the ocean and water.","['Plastic Pollution', 'Recycling Properties', 'Treatment Options Exploration', 'Environmental Services', 'Circular Ocean-bound Plastic Project', 'Cross-border Cooperation', 'Waste Collection and Testing', 'Knowledge Center', 'Environmental Organizations', 'Modern Technology for Waste Collection']",Manufacturing,Plastics Products,Custom Compounding of Purchased Resins,"['Waste Management Services', 'Recycling Services', 'Environmental Consulting']"
"Otero Brutal Fest is a non-profit festival organized by the cultural association of Otero Crew, which aims to provide an event for fans of hardcore and metal music. The festival was founded in 2013 with the goal of attracting international bands, while also showcasing regional and national acts. Since its inception, the festival has grown in audience and poster size, and now features over 50 concerts organized by Oteros Crew, as well as an international stage featuring artists from around the world. The upcoming edition of OTERO Brutal Festival will be held on November 29th in Oviedo, Spain, and is expected to attract regional, national, and international visitors. The organization is also looking at other national and European festivals to expand its reach and has organized a sponsor section for businesses to collaborate and promote their events.","['Music Festival Organization', 'Infrastructure Services', 'International Bands Promotion', 'Sponsorships & Events', 'International Music Scene', 'Non-profit Festival Organization', 'Sponsorship Services', 'Cultural Association', 'International Stage', 'Event Organization Services']",Services,Event Planner Services,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","['Non-Profit Management', 'Event Planning Services', 'Arts Services']"
"Mực in bao bì Vượng Phát Ink is a company based in Hồ Chí Minh City, Vietnam, specializing in the wholesale distribution of chemicals.","['Importation from The European Union', 'Warm and Timely Service', 'Ink, Packaging & Plastic', 'Solvent-based Detergents', '3D Printing', 'Silk Screen Printing', 'Wholesale Chemical Distribution', 'Precision Color Printing', 'Liquid Crystalline Dyes and Inks', 'Copper Tube Printing Services']",Manufacturing,"Paints, Coatings, Dyes & Pigments",Printing Ink Manufacturing,"['Chemical Manufacturing', 'Ink Production Services', 'Printing Services']"
"Leolan is a supplier of telecommunications equipment, specializing in cabinets, cable ducts, boxes, LED lights, PVC tubes, PND pipes, perforated trays, floor hatches, outdoor cable channels, mini columns, sockets, and stands. They offer a range of server and telecommunications cabinets 19"" in size, including outdoor cabinets, open mounting racks, all-weather climate cabinets, wall cabinets, and vandal-proof cabinets. Leolan also provides accessories for 19"" cabinets and racks, power sockets, patch panels, and cable organizers. They supply products from well-known brands such as Gigalink, Cisco Systems, Huawei, and Zyxel. Additionally, Leolan offers low-voltage equipment, circuit breakers, components of the SCS, patch cords, UTP and FTP wall sockets, cable trays and ladders, and electrical installation products.","['Perforated Trays', 'Keystone Modules', 'Outdoor Cable Conduits', 'Vandal-proof Cabinets Supplier', 'Cisco Systems', 'Server Cabinets for Telecommunication', 'LED Lights', 'Krone Equipment', 'Pvc Pipes', 'Open Mounting Racks', 'Floor Hatches', 'Patch Panels and Cable Management Solutions', 'Power Sockets RM', 'UTP Twisted Pair Cables', 'Active Network Equipment', 'Wall Cabinets Retailer Services', 'Installation Services', 'Telecommunications Equipment Supplier', 'Mini Columns Manufacturer', 'Telecommunications Equipment', 'Low Voltage Equipment', 'Outdoor Speaker', 'Ladder Type Cable Bridges', 'Huawei Products', 'Box Slotting Machines', 'UPS Safety Switch-off Devices', '19’ Stands Manufacturer', 'Electrical Installation Works', 'IT Solutions', 'Curtain Type Shields', 'Wall Cabinets Producer', 'All-weather Cabinets Manufacturer', 'Cashless Payment VAT SKS', 'Outdoor Hatchets', 'Electrical Installation Products', '19 Stands', 'All-weather Climate Cabinets Supplier Services', 'Mini Columns', 'Premium Line Twisted Pair Multipair', 'SCS Components', 'Huawei Smartphones', 'Plastic Channels for Cables', 'Cable Cannons', 'Double Wall Pipes', 'Zyxel', 'Differential Circuit Breakers', 'Cable Boxes', 'Retractable Socket Units', 'Online Shop']",Manufacturing,Cables & Wires,Noncurrent-Carrying Wiring Device Manufacturing,"['Commercial Communication Equipment Installation', 'Cable Installation Services', 'Commercial Electrical Services']"
"Suzhou Wenxin New Material Co., Ltd is a Chinese company that specializes in the production and wholesale of polyurethane adhesive used for insulation integrated panels, polyurea glues, and thermo-retardant fireproof polyester core. They also offer inorganic materials bonding agent, wood plastic floor glue, honeycomb aluminium adhesive, organic materials binders, refrigerated vehicle ships, and exterior wall insulation composite panels.",[],Manufacturing,Adhesives & Sealants,Adhesive Manufacturing,"['Insulation Services', 'Chemical Manufacturing']"
"Seemas Goat Farm is a farm located in Valathungal, India. The company specializes in breeding and selling goats.","['Goat Breeding Services', 'Goat Farming', 'Animal Husbandry']",Manufacturing,Livestock & Animal Raising,Hog and Pig Farming,['Livestock Dealer Services']
"The company is an art business that specializes in digital art, digital painting, illustration, and commission art. They have worked on various projects, including commissions for Eraili on dA and FireDrakeRyunn.","['Digital Painting Services', 'Digital Art Production', 'Illustration Services', 'Commissioned Artwork Services', 'Fantasy Art Services']",Services,Zoo,Zoos and Botanical Gardens,"['Arts Services', 'Media Production Services', 'Graphic Design Services', 'Content Creation Services']"
"The District Court for Warsaw-Śródmieście is a regional court located in Warsaw, Poland. It is responsible for the administration of justice in the district of Warsaw- Śrżycie. The court has a list of judges and assessors, as well as a public information bulletin and a list on its website. It has several divisions, including the Civil Division, Criminal Division, Family and Minors Division, and Executive Section. The Court also has branches of the Administrative Division, the Company archive, and the Independent Section for the Protection of Classified Information. The Regional Office of the Polish Immigration Service manages the court.","['Legal Services', 'Court Payments', 'Court Administration Services', 'Municipal Public Authority', 'Court Of Appeals And Tribunals', 'Court Searches', 'Magistrates Court', 'Legal Information Services', 'Judicial Organization', 'Courthouse Services', 'Access to Justice', 'Case Filings and Case Search', 'Court Auctions', 'Public Interest Cases', 'Public Administration', 'Blind and Visually Impaired Support Services', 'Legal Depositions', 'Disputes Resolution', 'Public Services', 'Governmental', 'Accessibility Services', 'Court of Jurisdiction', 'Legal Advice and Assistance', 'Court Interpreters', 'Court Filings', 'Court Docket', 'Access to Court Records']",Government,Courthouses,Courts,"['Legal Services', 'Consulting Services', 'Compliance Services']"
"Abyudaya Nusa Indonesia is a trade company established in 2022 that specializes in the supply of biomass energy. They offer a range of products including Wood Chips, Wood Pellet, Wood Briquette, Sawdust, and derivatives. The company is dedicated to providing a sustainable supply chain and aims to transition to transition energy as soon as possible, with a focus on achieving zero emissions by 2050. Abyudoya Nusa Indonesian is committed to increasing their production as the global market continues to grow and recognizes the potential of biomass as a sustainable alternative to fossil fuels and other non-renewable resources.","['Supply Chain Sustainability', 'Wood Pellets', 'Wood Briquettes', 'Biomass Power Generation Services', 'Sawdust Briquette Logs', 'Natural Products from Commodities', 'Sawdust', 'Trading Company', 'Biomass Production']",Wholesale,Renewable energy companies,Biomass Electric Power Generation,"['Wood Product Manufacturing', 'Environmental Consulting', 'Chemical Manufacturing']"
"The company specializes in the production of high-performance thin-film new materials, including G8.5 round aluminum, G10.5 flat copper, G8 and G8-5 round copper, and high-purity metals such as high-pure titanium, high- purity nickel, high purity aluminum, and copper. Their products are used in a variety of industries, including high-tech, high technology, and military products. The company has been recognized as a national high-technology enterprise, a national technology enterprise, and a national knowledge and intellectual property advantage enterprise.","['Miniaturized Displays with TFT and OLED', 'Solar Screens Manufacturer', 'Gaming Experience', 'Decoration Mirrors Manufacturer', 'Alloy and ITO Resin Displays', 'Miniatures with Tinted and Colored Mirrors', 'Mobile Gaming Platform', 'Mobile App Development Services', 'High-performance Thin Film Displays Manufacturing', 'Small Displays']",Manufacturing,Electronical Components Manufacturing,Semiconductor and Related Device Manufacturing,"['Chemical Manufacturing', 'Metal Product Manufacturing', 'Industrial Machinery Installation']"
"Baskar Auto is a Turkish company that specializes in the sale and distribution of spare parts for heavy-duty vehicles. They offer a 20,000 m² service area and are available to supply bus and truck spare parts. With a team of experts, they provide maintenance and repair services for various vehicle brands, including MAN, Mercedes, Scania, and Renault, with meticulous attention to mechanical, electrical, bodywork, and paintwork. Baskar auto also offers a wide range of spare spare parts through their extensive supply chain, ensuring timely and high-quality delivery to their customers. Additionally, they have expertise in the purchase and sale of second-hand commercial vehicles, with approximately 45 years of experience in the industry.","['Mechanical Engineering Services', 'Superstructures for Heavy-duty Vehicles', 'Bodywork Services', 'Painting, Bodywork, and Electrical Services', 'Spare Part Distribution', 'Automotive Repair and Maintenance Services', 'Automotive Spare Parts', 'Car Painting Services', 'Automotive Industry']",Wholesale,Auto Parts Manufacturers,Motor Vehicle Supplies and New Parts Merchant Wholesalers,"['Automotive Repair and Maintenance Services', 'Painting Services', 'Electrical Installation Services', 'Wholesale']"
"Porto Seguros Maldonado is an insurance company that offers a wide range of vehicle protection services. They have branches in Maldonardo and Maldonada, Uruguay, and provide assistance in case of accidents through their Surco Seguro and HDI Seguro services. Far Seguro is a subsidiary of Porto Segura Uruguay, which has branches throughout Uruguay with a local representative. Both companies offer online comparison tools to help customers find the best coverage options for their needs.","['Home Insurance', 'Insurance Comparison Platform', 'Credit Cards', 'Life Insurance', 'Personal Loans']",Services,"Insurance - Agents, Carriers & Brokers","Other Direct Insurance (except Life, Health, and Medical) Carriers","['Insurance Services', 'Consulting Services', 'Financial Services']"
"Aerotecnica, S.A. is a Venezuelan company that has been a technological pioneer in the aeronautical industry since its establishment in 1951. They are one of the first air transportation service operators and certified aircraft maintenance service providers for internationally-renowned vendors such as Bell Helicopter/Textron, Leonardo Helicopters, and Embraer Executive Jets. The company offers specialized international and domestic air transport and maintenance services, abiding by INAC RAV 135 and INAC SRAV 145 regulations. They have a large fleet of helicopters equipped with high-tech equipment for efficient transportation of passengers, materials, and equipment. Aerotecnicas also provides logistical and operational support in urban, densely-populated, as well as remote access areas. The maintenance facilities are manned by technicians and aeronautics engineers who are constantly updated and trained by the most prestigious international firms in current practices and methods.","['Air Transportation Services', 'Leonardo Helicopters', 'Authorized Service Center', 'Bell Helicopter Textron', 'Bell Helicopter', 'Aircraft Maintenance Services Provider', 'Rolls Royce M250 Benchmarking', 'Aircraft Repair', 'JIG Structural Repairs', 'Aeronautical Maintenance Services', 'Turbine Parts Repair Technologies']",Services,Trucking and Logistics,Other Support Activities for Air Transportation,"['Industrial Machinery Installation', 'Logistics Services', 'Consulting Services']"
"LCB / Logística Comercial Brigmadi S.A de C.V. is a specialized company with over 20 years of experience in Refractory Facilities and Thermal Insulation, as well as Mechanical, Electrical, and Civil Engineering work. With a team of highly qualified engineers, technicians, and personnel, LCB offers engineering solutions and refractory installation in various process equipment, making them a specialized international company. They specialize in the construction and repair of furnaces in the cement, lime, glass, steel, and other industries. LCB has implemented a management system that complies with NORMA ISO standards to ensure quality in their projects.","['Electrical Engineering Services for Refractories', 'Thermal Insulation Installation and Maintenance Services', 'Planning, Building, and Repairing Ovens', 'Refractors', 'Civil Engineering Services', 'Mechanical Engineering Services', 'Refractory Installation', 'Quality Assurance', 'Occupational Safety Concepts']",Services,Concrete Work,Structural Steel and Precast Concrete Contractors,"['Insulation Services', 'Electrical Installation Services', 'Civil Engineering Services', 'Mechanical Engineering Services', 'Structural Steel Erection']"
"Apple Valley Creamery is a family-owned dairy farm and creamery located in East Berlin, Pennsylvania. They offer farm fresh, all-natural raw and pasteurized milk from their own grass-fed cows, as well as a variety of dairy products such as cheese, butter, cream, yogurt, and baking mixes. In addition, they provide a selection of non-dairy beverages, pastured meats, and produce from other local farms. Apple Valley Creamer is committed to providing farm fresh products delivered right to your door and is a trusted source for inspiration, influence, and information to enrich, educate, and nurture individuals, families, and communities.","['Family-owned and Operated', 'Soap Making', 'Pancake Mixes', 'Sustainable Glass Bottles', 'Pastured Meats', 'Coffee', 'Granola', 'Heavy Cream', 'Salad Dressing Syrup', 'Pretzel Products', 'Half & Half', 'Cage-free Eggs', 'Artisanal Cheese', 'Cereals & Corn Flax', 'Martin’s Potato Bread', 'Animal Welfare Approved', 'Wild Salmon', 'Farm-fresh Whole Raw Milk', 'Spring Water', 'Jam & Spreads', 'Farm Keeper', 'Non-homogenized Whole Milk', 'Yogurt', 'Dairy Farm and Creamery', 'Gluten and Dairy-free Baking', 'Fig Bars', 'Sugar, Flour, Cooking Oil', 'Seasonal Items', 'Chocolate', 'Bread Talk', 'Grass-fed Cattle', 'Iced Tea and Lemonade', 'Blind Spot Nut Butters', 'Pickled and Jarred Goods', 'Mrs. Millers Noodles']",Manufacturing,Dairy Products - Farms & Stores,Fluid Milk Manufacturing,"['Dairy Production Services', 'Food Processing Services', 'Animal Feed Manufacturing']"
"Praxis Dr. med Peter Brekle & Kollegen is a medical practice located in Rheine, Germany that offers general medicine, sports medicine, and chiropractic services. The practice provides internal medicine and general practitioner services, as well as individual health services. They offer consultation hours and have an elevator and nearby parking available. The website provides important information about the practice and encourages visitors to get acquainted with them before visiting in person. Patients who do not speak German or English must arrange an interpreter to make appointments.","['General Practitioner Contracts', 'Individual Health Services', 'Video Consultations', 'General Practitioner', 'Recall System', 'Healthcare Services', 'Sports Medicine Services', 'General Medicine Services', 'Chiropractic Care Services']",Services,Orthopedic Clinics,Offices of Physicians (except Mental Health Specialists),"['Health Promotion Services', 'Occupational Health Services', 'Physical Therapy Services']"
Tongyi is a Chinese company that specializes in the production and sale of air conditioning and heating water heaters. They are one of the top ten brands in the industry and have been in operation for 24 years. Tongyi focuses on meeting the needs of Chinese consumers and has a strong presence in the market.,"['Infrared Thermal Imaging Technology', 'Gas Heat Analyzers', 'Import & Exporting', 'Government Insurance', 'Professional Sports Entertainment Private Consultation', 'Black Boxes']",Manufacturing,Medical Supply Manufacturers,Irradiation Apparatus Manufacturing,"['HVAC Installation and Service', 'Gas Installation Services']"
"Muddy Boots Cafe & Gift Shop is a business located in Alnwick, England, United Kingdom. It operates as a cafe and also features a gift shop.","['Dining Experience', 'Retail', 'Giftware Products', 'Hospitality']",Services,Coffee & Tea Shops,Drinking Places (Alcoholic Beverages),['Food Processing Services']
"Frederick Community College is an open-admission institution that admits all students regardless of citizenship status. The college offers credit courses for new students, re-admit students, dual enrollment students, open-campus students, and transfer students. Students seeking or currently holding an F1-Visa, including students who plan to transfer to FCC students, must complete the international student application process. Failure to follow the international application process may result in voided applications. The College's official version of the Residency Policy & Procedures is available on its website and may be revised annually. All applicants with a high school diploma or GED are accepted to the college.","['Workforce Development Non-credit Courses', 'Credit Courses', 'Non-credit Continuing Education', 'International Student Applications']",Education,Colleges & Universities,Junior Colleges,"['Training Services', 'Corporate Training Services']"
"Espacios de España is a project that aims to enhance and promote the image of various sectors such as wine, caballo, restoration, hostelry, cultural heritage, museums, parades, and rural houses. The project is inspired by the cultural wealth of Spain's history and seeks to showcase these products in traditional Spanish spaces using noble materials.","['Wood Flooring', 'Restoration and Design Services for Cabins', 'Restoration and Hospitality Products', 'Wood Counter Tops', 'Craftsmanship Services', 'Cultural Heritage Preservation', 'Restoration Services for Wine Cellars', 'Restoration Materials', 'Wooden Mirrors', 'Wooden Wardrobes', 'Restoration of Antique Doors', 'Wooden Benches', 'Wooden Balconies', 'Wooden Windows']",Manufacturing,Furniture Stores,Nonupholstered Wood Household Furniture Manufacturing,"['Furniture Manufacturing', 'Wood Product Manufacturing', 'Restoration Services', 'Interior Design Services']"
"Cornerstone is a company that provides licensing services for various industries such as lending, mortgage, credit, and debt collection agencies. They offer assistance to consumers, small businesses, and student loan servicers, as well as credit grantors, mortgage originators, and money service businesses. With over 25 years of experience, Cornerstone is known for their expertise in obtaining and maintaining licensing for their clients. They also offer state licensing maps and information on how to start a successful collection agency.","['Business Growth Support', 'Debt Collection Licensing Services', 'Licensure Solutions for Supervised Lenders', 'Bonding Solutions', 'Business Consulting', 'Insurance Solution', 'License Solutions for Payday Lenders', 'Licensing Services', 'Licensing and Bonding Services', 'State Licensing Map', 'Licenses for Student Loan Servicers']",Services,Debt Collection Agencies,Collection Agencies,"['Consulting Services', 'Financial Services', 'Insurance Services', 'Legal Services']"
"Dan The Man With A Van is a professional rubbish removal company based in Swansea, Wales. They offer fast and efficient rubbish removal services, including household, office, and garden waste collection, as well as scrap metal removals. The company is fully licensed and eco-friendly, and their crew is experienced in removing various types of rubbish, from electrical appliances to garden waste. They provide a free, no-obligation quote upon request.","['Scrap Metal Recycling Services', 'Licensed Waste Disposal Services', 'Rubbish Removal Services Provider', 'Environmentally Friendly Waste Clearance']",Services,Garbage Collection & Waste Disposal,Other Waste Collection,"['Waste Management Services', 'Recycling Services']"
"Tecnomaderas is a company that specializes in the sale of equipment and spare parts for woodworking. They are a leader in Central America in this field and offer a range of products from machinery for sawing to equipment for finishing products. They also sell equipment for creating boards and furniture, as well as small products as souvenirs.","['Woodworking Machinery Sales', 'Tables and Furniture Making Equipment', 'Production Line Expansion', 'Finishing Equipment', 'Small-scale Works Equipment', 'Project Initiation', 'Consultancy Services', 'Sawing Equipment']",Manufacturing,Industrial Machinery & Supplies,"Sawmill, Woodworking, and Paper Machinery Manufacturing","['Wood Product Manufacturing', 'Furniture Manufacturing', 'Industrial Machinery Installation']"
"The company specializes in the production and sale of automobile batteries, accessories, and sound systems. They offer a range of products, including battery chargers, battery charger chargers for 12V and 18V batteries, battery holders, and battery chargertubs. They also provide accessories for various car models, such as the K3, K6, and T6 models. The company emphasizes integrity, innovation, convenience, and customer satisfaction as their core values. They aim to provide high-quality products and services to their customers.","['Decorative Mirrors', 'Heavy-duty Driving Aids', 'Interior Accessories', '12V Motors', 'Car Chargers Manufacturer', 'Multipurpose Functions', 'Motorcycle Batteries', 'Technology Company', 'Hot Glue Mats', 'Smart Auto Repair', 'Decals and Stickers', 'Car Stands', '12V Solar Panels', 'Car Audio Systems', 'Table Decor', 'Decorative Plates', 'Automotive Accessories Manufacturer']",Manufacturing,Auto Parts Manufacturers,Motor Vehicle Seating and Interior Trim Manufacturing,"['Automotive Repair and Maintenance Services', 'Electrical Installation Services', 'Plastic Manufacturing']"
"Cơ Khí Quang Long is a mechanic service provider located in Thanh Hoá, Thanh Hoá Province, Vietnam.","['General Automotive Repair Services', 'Mechanic Services']",Services,Auto Services,General Automotive Repair,['Automotive Repair and Maintenance Services']
"Beijing Logistics Equipment Enterprise Directory is a company that provides a platform for businesses in the logistics equipment industry in Beijing. The directory aims to bring together various companies under one roof to showcase their products and services. The company has been in operation for over 10 years and has a diverse range of clients from different industries such as food and beverage, construction, real estate, transportation, and more. The platform offers a variety of categories such as data warehouses, big data, development and technology, operation systems, network technology, information technology, and IT life. The companies listed on the directory have a wide range of products and expertise in different fields such as metal recycling, chemical processing, fire prevention engineering, and transportation.","['Information Services Provider', 'Business Directory Services', 'Logistics Directory Services', 'Information Services', 'Software Information Services']",Manufacturing,Heavy Construction Equipment,Conveyor and Conveying Equipment Manufacturing,"['Industrial Machinery Installation', 'Consulting Services', 'Logistics Services']"
"Chaozhou Chao'an Xinmin Food Packaging Co., Ltd. is a manufacturer based in Guangdong, China. They specialize in the production of various types of flexible packaging, including food pouches, laminated pouche, and packaging pouch. Their main markets include Africa, Asia, the Middle East, and worldwide. They offer a wide range of products such as foil packaging, stick packs, packaging film, liquid poucs, printed shrink film, poly packaging, coffee bags, cookies bags, candy packaging, dog food pouch, snacks packaging, nuts packaging, chips packaging, pouching for drinks, and more. They also provide stand-up pouchers, gusseted bags, zipper packaging bags, and three-side seal bags. With over 24 years of experience, they have developed a deep understanding of their customers' needs and strive to provide complete solutions at competitive prices.","['Stick Packs', 'Pouhes for Drinks', 'Dog Food Pouches', 'Stand-Up Pouches', 'Printed Shrink Film', 'Candy Boxes Supplier', 'Food Packaging Manufacturer', 'Chips Packing Seller', 'Polymer Packaging', 'Cookie Bags Manufacturer', 'Flexible Packaging Solutions', 'Packaging Films', 'Side Seal Bags', 'Liquid Pouches', 'Vacuum Packaging', 'Coffee Bag']",Manufacturing,Packing & Crating,Plastics Bag and Pouch Manufacturing,"['Plastic Manufacturing', 'Food Processing Services', 'Packaging Services']"
"UD Hasan Ali is a butcher shop located in the Special Capital Region of Jakarta, Indonesia. The establishment offers both in-store shopping and delivery services.",[],Retail,Butcher shop,Meat Retailers,['Meat Processing Services']
"Don Rudy's is a food truck that offers a variety of authentic Mexican dishes, including Birria Tacos, Quesabirrias, Stuffed Chili / Chile Relleno, Menudo, Tortas, Qesadillas, and Chicken Tacos. Their dishes are made with a unique recipe of aromatic spices and are accompanied by broth, radishes, and mild-hot sauce. The food truck aims to provide a unique and memorable food experience for both local and foreign patrons. They also offer reservations and meal preparation services.","['Authentic Quesabirrias', 'Birria Tacos', 'Food Truck Services', 'Authentically Crafted Tortas', 'Stuffed Chili Relleno', 'Food Preparation', 'Mexican Food']",Services,"Hamburgers, Hot-Dogs & Sandwiches",Mobile Food Services,"['Food Processing Services', 'Catering Services']"
"The company specializes in the sale of women's apparel, including Harvard University clothing, Minnesota Twins gear deals, and sports equipment. They also offer USC football apparel.","['Business Email Static Code Analysis', 'Legal Services', 'Cybersecurity Content Provider', 'Online Cybersecurity Certificate Programs']",Retail,Sporting Goods Store,Sporting Goods Retailers,['Apparel Manufacturing']
"GGRN is a Korean sock brand that specializes in manufacturing socks, sock stockings, and other accessories for men. With over 30 years of experience in manufacturing technology and creative design, GGRN has established itself as a leader in the domestic socks industry. The company offers innovative designs based on thorough market research, professional production, and strict quality control to provide customers with high-quality products. GGRM aims to become a global top company by pursuing the style of enjoyment and pleasure. They offer a wide range of products and services in various business areas, including design, research and development, and production. With more than 15 years of industry experience, Ggrn is committed to providing the highest quality care and offers stable production lines and reasonable prices for companies looking to sell or import products. They welcome technology partnerships with companies interested in manufacturing in Korang.","['Cotton-blend Sock Stockings Manufacturer', 'B2B Services', 'Strict Quality Control', 'Exporting', 'Mens Floor Thick Champion Sports Ankle', 'Manufacturing Technology', 'Market Research', 'Accessories For Men & Women', 'Faux Fur Socks', 'Childrens Socks Manufacturer', 'Creative Design', 'Stable Production Line', 'Fax Leather 8 Pack Set']",Manufacturing,Clothing Stores,Apparel Knitting Mills,"['Apparel Manufacturing', 'Accessory Manufacturing', 'Textile Manufacturing Services']"
"China Energy Construction Group is a Chinese company that operates in the construction industry. The company has been involved in various projects and collaborations with other companies, including a strategic cooperation agreement with the People's Bank of China and a partnership with the European Investment Management Company. They have also participated in conferences and events related to the construction sector.","['Construction Industry Information Disruptor', 'Chinese Construction Industry', 'Construction Information Dissemination', 'China New Power Systems Research Center', 'China Power Engineering Consulting Group']",Services,Construction Services,Oil and Gas Pipeline and Related Structures Construction,"['Construction Services', 'Commercial Construction Services', 'Pipeline Construction Services', 'Engineering Consulting Services']"
"Global Trade Frames, a subsidiary of Home Improvements Today (Trade) Limited, is a trade-to-trade company based in Hertfordshire, UK. Established in 2006, the company has become a leading supplier of windows, doors, conservatories, roofline products, trims, and other related items. With over 50 years of combined experience in the construction and window industry, Global Trade Frames supplies the building trade, window fitters, and home improvement professionals with quality products at competitive prices. The company offers a wide range of products, including PVC window trims and accessories, fixing screws, brackets, glazing packs, cleaning solutions, silicone sealants, locks, hinges, handles, replacement parts, fascias, soffits, guttering, down pipes, and attachments, as well as hand tools such as saws, drill bits, and trim snips.","['Website Design and Building Services', 'Free One-page Website', '.UK Domain', '.Com Domain']",Wholesale,Building Material Manufacturers,"Roofing, Siding, and Insulation Material Merchant Wholesalers","['Windows and Doors Installation', 'Insulation Services', 'Wholesale']"
